"drug_name","omop_cui","rxnorm_cui"
Haloperidol 2 MG/ML Oral Solution,766530,"141935"
Haloperidol 20 MG Oral Tablet,766531,"197754"
"1 ML Haloperidol 5 MG/ML Prefilled Syringe",1593510,"1876502"
Haloperidol 5 MG/ML Injectable Solution,19027427,"204416"
Haloperidol 0.5 MG Oral Tablet,19077928,"310670"
Haloperidol 1 MG Oral Tablet,19077929,"310671"
Haloperidol 5 MG Oral Tablet,19077930,"310672"
Haloperidol 2 MG Oral Tablet,19080040,"314034"
Haloperidol 10 MG Oral Tablet,19080061,"314035"
"1 ML haloperidol decanoate 100 MG/ML Injection",35603089,"1719803"
"1 ML haloperidol decanoate 100 MG/ML Injection [Haldol]",35603091,"1719847"
"1 ML haloperidol decanoate 50 MG/ML Injection",35603093,"1719862"
"1 ML haloperidol decanoate 50 MG/ML Injection [Haldol]",35603101,"1720026"
"1 ML Haloperidol 5 MG/ML Injection",35603238,"1719646"
"1 ML Haloperidol 5 MG/ML Injection [Haldol]",35603243,"1719669"
haloperidol decanoate 100 MG/ML Injectable Solution,40165561,"859871"
haloperidol decanoate 50 MG/ML Injectable Solution,40165565,"859867"
