"drug_name","omop_cui","rxnorm_cui"
Carbamazepine 100 MG Oral Tablet,740279,"197441"
Carbamazepine 200 MG Chewable Tablet,740280,"197442"
"12 HR Carbamazepine 100 MG Extended Release Oral Tablet",740281,"199378"
Carbamazepine 200 MG Oral Tablet [Epitol],740305,"211817"
"12 HR Carbamazepine 300 MG Extended Release Oral Capsule [Carbatrol]",740346,"313931"
"12 HR Carbamazepine 100 MG Extended Release Oral Capsule",740394,"388311"
"12 HR Carbamazepine 300 MG Extended Release Oral Capsule",19023062,"200131"
"12 HR Carbamazepine 200 MG Extended Release Oral Capsule",19023064,"200133"
Carbamazepine 20 MG/ML Oral Suspension [Tegretol],19074679,"308971"
Carbamazepine 200 MG Oral Tablet [Tegretol],19074680,"308972"
Carbamazepine 100 MG Chewable Tablet,19074691,"308973"
Carbamazepine 20 MG/ML Oral Suspension,19074694,"308976"
"12 HR Carbamazepine 200 MG Extended Release Oral Capsule [Carbatrol]",19074695,"308977"
Carbamazepine 200 MG Oral Tablet,19074697,"308979"
"12 HR Carbamazepine 200 MG Extended Release Oral Tablet",19102297,"402505"
"12 HR Carbamazepine 400 MG Extended Release Oral Tablet",19102298,"402506"
"12 HR Carbamazepine 100 MG Extended Release Oral Capsule [Carbatrol]",19102912,"404742"
"12 HR Carbamazepine 100 MG Extended Release Oral Capsule [Equetro]",19125382,"672908"
"12 HR Carbamazepine 300 MG Extended Release Oral Capsule [Equetro]",19125383,"672909"
"12 HR Carbamazepine 200 MG Extended Release Oral Capsule [Equetro]",19125384,"672910"
"12 HR Carbamazepine 100 MG Extended Release Oral Tablet [Tegretol]",40166807,"866303"
"12 HR Carbamazepine 200 MG Extended Release Oral Tablet [Tegretol]",40166808,"866305"
"12 HR Carbamazepine 400 MG Extended Release Oral Tablet [Tegretol]",40166809,"866307"
oxcarbazepine 150 MG Oral Tablet [Trileptal],718123,"261356"
oxcarbazepine 60 MG/ML Oral Suspension,718126,"283536"
oxcarbazepine 150 MG Oral Tablet,718127,"312136"
oxcarbazepine 300 MG Oral Tablet,718128,"312137"
oxcarbazepine 600 MG Oral Tablet,718129,"312138"
oxcarbazepine 60 MG/ML Oral Suspension [Trileptal],718154,"351992"
oxcarbazepine 300 MG Oral Tablet [Trileptal],19068370,"261360"
oxcarbazepine 600 MG Oral Tablet [Trileptal],19068757,"262090"
"24 HR oxcarbazepine 150 MG Extended Release Oral Tablet [Oxtellar]",43012439,"1365660"
"24 HR oxcarbazepine 300 MG Extended Release Oral Tablet [Oxtellar]",43012441,"1365847"
"24 HR oxcarbazepine 600 MG Extended Release Oral Tablet [Oxtellar]",43012443,"1365850"
lamotrigine 100 MG Oral Tablet,705108,"198427"
lamotrigine 150 MG Oral Tablet,705109,"198428"
lamotrigine 200 MG Oral Tablet,705110,"198429"
lamotrigine 50 MG Oral Tablet,705152,"199322"
lamotrigine 250 MG Oral Tablet,705156,"249329"
